obs,wave,ageDiff,int_corr,imprace,samerace,match,dec,dec_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,goal,exphappy,expnum,attr,sinc,intel,fun,amb,shar,like,prob,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,you_call,them_cal,numdat_3
36,1,2,0.37,1,1,0,0,1,50,0,30,10,0,10,6,6,7,7,8,7,6,6,2,1,1,2,5,10,8,4,8,2,4,3,24.14,13.79,20.69,27.59,10.34,3.45,0,0,
37,1,7,0.35,1,1,0,0,1,35,15,25,10,5,10,7,6,3,5,6,5,6,4,2,1,1,2,7,10,10,7,10,5,5,1,24.14,13.79,20.69,27.59,10.34,3.45,0,0,
38,1,4,0.15,1,1,0,0,0,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,6,6,5,7,7,2,1,1,2,5,9,9,5,9,7,6,6,24.14,13.79,20.69,27.59,10.34,3.45,0,0,
39,1,5,-0.47,1,1,1,1,1,50,0,25,10,0,15,7,7,7,10,9,10,8,8,2,1,1,2,9,8,10,10,7,8,8,8,24.14,13.79,20.69,27.59,10.34,3.45,0,0,
40,1,1,-0.19,1,1,0,1,0,100,0,0,0,0,0,7,8,8,7,8,7,7,7,2,1,1,2,8,9,10,10,8,8,10,8,24.14,13.79,20.69,27.59,10.34,3.45,0,0,
41,1,6,-0.43,8,1,0,0,0,35,20,20,20,0,5,6,8,8,8,7,6,6,5,2,2,7,10,5,8,8,2,2,2,7,5,15.79,13.16,18.42,15.79,15.79,21.05,0,0,
42,1,1,0,8,1,0,0,0,60,0,0,40,0,0,6,7,10,7,6,5,7,4,1,2,7,10,8,6,6,5,5,5,6,4,15.79,13.16,18.42,15.79,15.79,21.05,0,0,
43,1,1,-0.17,8,0,0,0,1,19,18,19,18,14,12,10,10,10,10,10,10,10,10,1,2,7,10,4,6,8,8,6,5,6,5,15.79,13.16,18.42,15.79,15.79,21.05,0,0,
44,1,2,0.08,8,1,1,1,1,30,5,15,40,5,5,6,8,6,8,10,10,7,7,1,2,7,10,8,5,5,7,7,9,8,2,15.79,13.16,18.42,15.79,15.79,21.05,0,0,
45,1,3,-0.16,8,0,0,0,0,30,10,20,10,10,20,5,9,9,7,9,5,5,7,2,2,7,10,6,7,7,5,4,8,7,4,15.79,13.16,18.42,15.79,15.79,21.05,0,0,
46,1,4,0.06,8,1,0,1,0,50,0,30,10,0,10,5,8,7,7,7,7,6,7,2,2,7,10,5,6,7,5,7,8,7,3,15.79,13.16,18.42,15.79,15.79,21.05,0,0,
47,1,9,-0.05,8,1,0,1,0,35,15,25,10,5,10,2,3,4,4,5,3,3,3,2,2,7,10,6,6,8,5,5,6,6,3,15.79,13.16,18.42,15.79,15.79,21.05,0,0,
48,1,6,0.07,8,1,0,1,0,33.33,11.11,11.11,11.11,11.11,22.22,5,5,6,5,5,5,6,5,2,2,7,10,5,5,7,6,7,5,6,4,15.79,13.16,18.42,15.79,15.79,21.05,0,0,
49,1,7,-0.13,8,1,1,1,1,50,0,25,10,0,15,5,9,9,9,9,6,7,7,2,2,7,10,7,5,7,8,7,9,9,4,15.79,13.16,18.42,15.79,15.79,21.05,0,0,
50,1,3,-0.06,8,1,0,1,0,100,0,0,0,0,0,3,10,7,7,10,5,4,10,2,2,7,10,9,6,7,9,6,5,10,3,15.79,13.16,18.42,15.79,15.79,21.05,0,0,
51,1,4,0.33,1,0,0,1,0,35,20,20,20,0,5,7,9,8,9,8,4,7,4,2,1,4,3,6,9,7,6,7,6,6,6,10.26,25.64,20.51,23.08,2.56,17.95,,,
52,1,1,0.37,1,0,0,1,0,60,0,0,40,0,0,6,8,10,6,7,6,7,4,2,1,4,3,6,9,9,6,8,2,7,6,10.26,25.64,20.51,23.08,2.56,17.95,,,
53,1,1,-0.51,1,1,0,0,1,19,18,19,18,14,12,10,10,10,10,10,10,10,10,1,1,4,3,4,7,9,4,3,2,6,2,10.26,25.64,20.51,23.08,2.56,17.95,,,
54,1,0,0.12,1,0,1,1,1,30,5,15,40,5,5,6,8,8,7,9,8,7,7,2,1,4,3,8,6,7,8,2,8,9,4,10.26,25.64,20.51,23.08,2.56,17.95,,,
55,1,1,0.35,1,0,0,0,1,30,10,20,10,10,20,9,7,9,7,9,6,9,2,1,1,4,3,5,4,8,8,4,2,4,3,10.26,25.64,20.51,23.08,2.56,17.95,,,
56,1,2,0.19,1,0,0,0,1,50,0,30,10,0,10,6,6,8,8,8,7,6,6,2,1,4,3,3,7,6,1,1,1,2,2,10.26,25.64,20.51,23.08,2.56,17.95,,,
57,1,7,0.47,1,0,0,1,0,35,15,25,10,5,10,5,6,8,4,5,4,3,3,2,1,4,3,8,8,8,8,3,4,8,7,10.26,25.64,20.51,23.08,2.56,17.95,,,
58,1,4,0.03,1,0,0,0,0,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,7,8,5,7,6,2,1,4,3,4,8,9,2,8,3,5,5,10.26,25.64,20.51,23.08,2.56,17.95,,,
59,1,5,0.46,1,0,1,1,1,50,0,25,10,0,15,6,7,7,6,6,6,6,6,2,1,4,3,7,6,8,8,6,9,9,6,10.26,25.64,20.51,23.08,2.56,17.95,,,
60,1,1,0.43,1,0,0,1,0,100,0,0,0,0,0,7,10,10,6,10,7,6,7,2,1,4,3,8,9,9,9,10,7,9,8,10.26,25.64,20.51,23.08,2.56,17.95,,,
61,1,5,0.19,2,0,0,0,0,35,20,20,20,0,5,7,8,8,8,7,7,7,4,2,1,7,3,4,8,8,5,7,4,7,4,,,,,,,,,
62,1,0,0.21,2,0,0,0,1,60,0,0,40,0,0,7,9,10,6,6,5,8,4,1,1,7,3,6,6,8,4,9,4,7,3,,,,,,,,,
63,1,0,0.52,2,1,0,0,1,19,18,19,18,14,12,10,10,10,10,10,10,10,10,,1,7,3,3,6,8,7,8,8,7,8,,,,,,,,,
64,1,1,-0.46,2,0,1,1,1,30,5,15,40,5,5,8,8,9,8,9,9,8,7,1,1,7,3,7,8,8,7,7,6,8,6,,,,,,,,,
65,1,2,-0.27,2,0,0,0,1,30,10,20,10,10,20,8,7,9,6,9,5,8,4,2,1,7,3,4,7,7,4,8,5,5,6,,,,,,,,,
66,1,3,0.59,2,0,0,0,1,50,0,30,10,0,10,8,8,8,6,6,6,7,7,2,1,7,3,4,8,7,4,5,4,5,5,,,,,,,,,
67,1,8,0.31,2,0,0,1,0,35,15,25,10,5,10,7,6,5,4,4,3,5,4,2,1,7,3,7,7,8,7,7,7,8,7,,,,,,,,,
68,1,5,0.08,2,0,0,0,1,33.33,11.11,11.11,11.11,11.11,22.22,8,7,6,7,7,5,7,5,2,1,7,3,5,7,8,5,9,5,5,7,,,,,,,,,
69,1,6,-0.34,2,0,1,1,1,50,0,25,10,0,15,9,7,9,9,9,10,9,9,2,1,7,3,6,6,8,8,8,6,6,6,,,,,,,,,
70,1,2,-0.16,2,0,0,1,0,100,0,0,0,0,0,7,6,8,6,8,7,7,7,2,1,7,3,8,6,7,7,8,6,7,5,,,,,,,,,
71,1,2,-0.03,1,1,0,1,0,35,20,20,20,0,5,8,7,6,6,6,5,7,4,2,1,6,10,5,8,7,4,7,5,4,5,,,,,,,,,
72,1,3,-0.11,1,1,1,1,1,60,0,0,40,0,0,8,8,10,7,6,5,9,4,2,1,6,10,8,7,7,9,6,7,8,7,,,,,,,,,
73,1,3,0.42,1,0,1,1,1,19,18,19,18,14,12,10,10,10,10,10,10,10,10,2,1,6,10,5,8,8,6,7,7,5,5,,,,,,,,,
74,1,2,-0.4,1,1,1,1,1,30,5,15,40,5,5,8,8,8,8,8,7,8,7,2,1,6,10,8,6,5,6,6,5,5,6,,,,,,,,,
75,1,1,-0.23,1,0,1,1,1,30,10,20,10,10,20,9,9,8,9,,7,9,7,2,1,6,10,6,8,8,5,6,7,6,5,,,,,,,,,
76,1,0,0.28,1,1,1,1,1,50,0,30,10,0,10,8,7,7,7,8,7,7,6,2,1,6,10,6,8,8,5,6,7,6,5,,,,,,,,,
77,1,5,0.05,1,1,0,1,0,35,15,25,10,5,10,6,4,7,5,6,4,4,4,2,1,6,10,6,7,8,5,7,7,6,6,,,,,,,,,
78,1,2,0.17,1,1,1,1,1,33.33,11.11,11.11,11.11,11.11,22.22,9,8,8,8,7,5,7,5,2,1,6,10,5,6,7,4,5,6,5,4,,,,,,,,,
79,1,3,-0.47,1,1,1,1,1,50,0,25,10,0,15,8,7,8,10,8,10,8,8,2,1,6,10,8,8,5,9,8,9,7,10,,,,,,,,,
80,1,1,-0.21,1,1,1,1,1,100,0,0,0,0,0,8,10,9,9,8,8,8,8,2,1,6,10,7,6,8,7,9,8,8,7,,,,,,,,,
81,1,1,0.19,1,0,0,1,0,35,20,20,20,0,5,6,8,7,8,7,5,6,4,2,1,6,15,8,10,9,8,7,6,5,5,13.33,17.78,22.22,22.22,13.33,11.11,,,
82,1,4,0.03,1,0,1,1,1,60,0,0,40,0,0,8,8,10,7,6,5,8,4,2,1,6,15,10,10,10,10,10,10,10,5,13.33,17.78,22.22,22.22,13.33,11.11,,,
83,1,4,0.68,1,0,1,1,1,19,18,19,18,14,12,10,10,10,10,10,10,10,10,2,1,6,15,5,10,10,6,6,6,8,5,13.33,17.78,22.22,22.22,13.33,11.11,,,
84,1,3,-0.26,1,0,1,1,1,30,5,15,40,5,5,7,8,7,8,8,7,7,7,2,1,6,15,10,9,8,8,7,7,7,5,13.33,17.78,22.22,22.22,13.33,11.11,,,
85,1,2,-0.01,1,0,1,1,1,30,10,20,10,10,20,7,9,8,9,7,7,7,8,2,1,6,15,5,10,8,8,5,5,5,5,13.33,17.78,22.22,22.22,13.33,11.11,,,
86,1,1,0.42,1,0,1,1,1,50,0,30,10,0,10,6,6,7,8,7,7,6,5,2,1,6,15,8,9,9,7,6,5,6,5,13.33,17.78,22.22,22.22,13.33,11.11,,,
87,1,4,0.21,1,0,1,1,1,35,15,25,10,5,10,8,6,7,8,6,5,8,4,2,1,6,15,6,8,9,6,6,6,7,5,13.33,17.78,22.22,22.22,13.33,11.11,,,
88,1,1,0.1,1,0,0,1,0,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,6,5,7,5,2,1,6,15,6,7,8,7,9,6,7,5,13.33,17.78,22.22,22.22,13.33,11.11,,,
89,1,2,-0.35,1,0,1,1,1,50,0,25,10,0,15,6,6,6,7,6,6,6,6,2,1,6,15,8,5,5,6,5,5,7,6,13.33,17.78,22.22,22.22,13.33,11.11,,,
90,1,2,-0.23,1,0,0,1,0,100,0,0,0,0,0,5,6,6,6,6,6,6,6,2,1,6,15,7,8,7,8,7,8,8,5,13.33,17.78,22.22,22.22,13.33,11.11,,,
91,1,1,0.3,4,1,0,0,0,35,20,20,20,0,5,7,8,7,8,6,5,6,3,2,2,7,10,6,10,10,6,6,,6,3,35.71,3.57,10.71,28.57,3.57,17.86,,,
92,1,4,0.65,4,1,0,0,0,60,0,0,40,0,0,1,1,1,1,1,1,1,1,2,2,7,10,1,1,1,1,1,,1,1,35.71,3.57,10.71,28.57,3.57,17.86,,,
93,1,4,-0.15,4,0,1,1,1,19,18,19,18,14,12,10,10,10,10,10,10,10,10,2,2,7,10,6,10,10,10,6,,7,6,35.71,3.57,10.71,28.57,3.57,17.86,,,
94,1,3,0.17,4,1,0,0,1,30,5,15,40,5,5,7,8,7,9,8,8,7,7,1,2,7,10,10,10,10,10,10,,10,1,35.71,3.57,10.71,28.57,3.57,17.86,,,
95,1,2,0.24,4,0,0,0,1,30,10,20,10,10,20,6,9,9,7,8,,6,6,2,2,7,10,5,7,7,7,7,,6,1,35.71,3.57,10.71,28.57,3.57,17.86,,,
96,1,1,0.15,4,1,0,0,0,50,0,30,10,0,10,,8,7,7,7,7,6,6,2,2,7,10,5,10,6,4,6,,6,1,35.71,3.57,10.71,28.57,3.57,17.86,,,
97,1,4,0.41,4,1,0,1,0,35,15,25,10,5,10,7,7,4,3,4,4,3,6,2,2,7,10,5,10,8,6,9,,7,1,35.71,3.57,10.71,28.57,3.57,17.86,,,
98,1,1,0.07,4,1,0,0,0,33.33,11.11,11.11,11.11,11.11,22.22,6,6,6,6,6,5,7,6,2,2,7,10,5,6,6,4,5,,5,5,35.71,3.57,10.71,28.57,3.57,17.86,,,
99,1,2,0.49,4,1,1,1,1,50,0,25,10,0,15,7,7,7,7,6,6,7,8,2,2,7,10,9,9,9,9,9,9,9,9,35.71,3.57,10.71,28.57,3.57,17.86,,,
100,1,2,0.08,4,1,0,1,0,100,0,0,0,0,0,6,6,6,6,6,6,7,7,2,2,7,10,9,9,8,10,8,8,9,10,35.71,3.57,10.71,28.57,3.57,17.86,,,
101,1,6,0.14,7,0,0,0,1,15,20,20,15,15,15,6,9,7,7,6,5,7,6,2,1,7,3,6,8,8,8,8,6,7,4,19.51,17.07,17.07,17.07,12.2,17.07,0,0,
102,1,3,0.29,7,1,0,0,0,45,5,25,20,0,5,5,7,8,4,6,3,6,4,2,1,7,3,8,7,6,9,7,4,7,2,19.51,17.07,17.07,17.07,12.2,17.07,0,0,
103,1,2,-0.24,7,1,0,0,0,35,10,35,10,10,0,7,9,10,7,8,9,8,7,1,1,7,3,7,8,6,5,8,4,5,2,19.51,17.07,17.07,17.07,12.2,17.07,0,0,
104,1,4,-0.18,7,1,0,0,0,20,20,20,20,10,10,4,10,8,5,8,7,6,7,2,1,7,3,6,7,8,7,7,5,6,3,19.51,17.07,17.07,17.07,12.2,17.07,0,0,
105,1,6,-0.43,7,1,0,0,0,20,5,25,25,10,15,5,8,8,2,2,2,7,5,2,1,7,3,6,8,8,8,7,6,6,5,19.51,17.07,17.07,17.07,12.2,17.07,0,0,
106,1,4,0.33,7,0,0,0,1,10,25,20,25,5,15,6,9,7,6,7,6,6,6,2,1,7,3,7,9,8,9,8,4,7,4,19.51,17.07,17.07,17.07,12.2,17.07,0,0,
107,1,5,0.19,7,0,0,0,0,15,15,25,20,15,10,4,8,8,5,7,4,7,4,2,1,7,3,7,8,8,8,7,7,7,4,19.51,17.07,17.07,17.07,12.2,17.07,0,0,
108,1,2,-0.03,7,1,0,0,1,9.09,18.18,27.27,18.18,18.18,9.09,5,8,7,4,7,5,4,5,2,1,7,3,8,7,6,6,6,5,7,4,19.51,17.07,17.07,17.07,12.2,17.07,0,0,
109,1,1,0.19,7,0,0,0,1,20,10,20,30,10,10,8,10,9,8,7,6,5,5,2,1,7,3,6,8,7,8,7,5,6,4,19.51,17.07,17.07,17.07,12.2,17.07,0,0,
110,1,1,0.3,7,1,0,0,0,15,15,15,40,10,5,6,10,10,6,6,,6,3,2,1,7,3,7,8,7,8,6,5,6,3,19.51,17.07,17.07,17.07,12.2,17.07,0,0,
111,1,1,0.54,1,0,0,0,1,15,20,20,15,15,15,7,8,7,8,5,6,7,5,1,1,7,20,7,8,10,7,7,5,8,4,,,,,,,,,
112,1,2,0.18,1,1,0,0,0,45,5,25,20,0,5,8,5,6,6,9,6,7,3,2,1,7,20,7,6,10,6,6,5,8,4,,,,,,,,,
113,1,3,-0.14,1,1,0,0,0,35,10,35,10,10,0,9,7,9,8,9,7,8,7,2,1,7,20,6,7,10,6,6,5,7,3,,,,,,,,,
114,1,1,-0.18,1,1,0,0,0,20,20,20,20,10,10,8,7,8,10,7,8,8,1,1,1,7,20,6,5,10,6,6,5,6,3,,,,,,,,,
115,1,1,0,1,1,0,0,0,20,5,25,25,10,15,8,6,6,5,5,5,6,4,1,1,7,20,6,7,10,7,6,5,7,4,,,,,,,,,
116,1,1,0.37,1,0,0,0,1,10,25,20,25,5,15,6,9,9,6,8,2,7,6,2,1,7,20,6,8,10,6,7,6,7,4,,,,,,,,,
117,1,0,0.21,1,0,0,1,0,15,15,25,20,15,10,6,6,8,4,9,4,7,3,1,1,7,20,7,9,10,6,6,5,8,4,,,,,,,,,
118,1,3,-0.11,1,1,1,1,1,9.09,18.18,27.27,18.18,18.18,9.09,8,7,7,9,6,7,8,7,2,1,7,20,8,8,10,7,6,5,9,4,,,,,,,,,
119,1,4,0.03,1,0,1,1,1,20,10,20,30,10,10,10,10,10,10,10,10,10,5,2,1,7,20,8,8,10,7,6,5,8,4,,,,,,,,,
120,1,4,0.65,1,1,0,0,0,15,15,15,40,10,5,1,1,1,1,1,,1,1,1,1,7,20,1,1,1,1,1,1,1,1,,,,,,,,,
121,1,1,0.16,3,1,1,1,1,15,20,20,15,15,15,5,8,9,8,5,7,7,,1,2,3,4,10,10,10,10,10,10,10,10,20,20,20,20,7.5,12.5,,,
122,1,2,0.1,3,0,0,1,0,45,5,25,20,0,5,5,8,9,6,3,4,6,7,2,2,3,4,10,10,10,10,10,10,10,10,20,20,20,20,7.5,12.5,,,
123,1,3,0.09,3,0,0,1,0,35,10,35,10,10,0,7,9,9,7,9,7,8,7,2,2,3,4,10,10,10,10,10,10,10,10,20,20,20,20,7.5,12.5,,,
124,1,1,0.05,3,0,0,1,0,20,20,20,20,10,10,4,7,8,8,6,7,4,1,2,2,3,4,10,10,10,10,10,10,10,10,20,20,20,20,7.5,12.5,,,
125,1,1,-0.17,3,0,0,1,0,20,5,25,25,10,15,4,6,8,8,6,5,6,5,1,2,3,4,10,10,10,10,10,10,10,10,20,20,20,20,7.5,12.5,,,
126,1,1,-0.51,3,1,0,1,0,10,25,20,25,5,15,4,7,9,4,3,2,6,2,1,2,3,4,10,10,10,10,10,10,10,10,20,20,20,20,7.5,12.5,,,
127,1,0,0.52,3,1,0,1,0,15,15,25,20,15,10,3,6,8,7,8,8,7,8,1,2,3,4,10,10,10,10,10,10,10,10,20,20,20,20,7.5,12.5,,,
128,1,3,0.42,3,0,1,1,1,9.09,18.18,27.27,18.18,18.18,9.09,5,8,8,6,7,7,5,5,2,2,3,4,10,10,10,10,10,10,10,10,20,20,20,20,7.5,12.5,,,
129,1,4,0.68,3,0,1,1,1,20,10,20,30,10,10,5,10,10,6,6,6,8,5,2,2,3,4,10,10,10,10,10,10,10,10,20,20,20,20,7.5,12.5,,,
130,1,4,-0.15,3,0,1,1,1,15,15,15,40,10,5,6,10,10,10,6,,7,6,2,2,3,4,10,10,10,10,10,10,10,10,20,20,20,20,7.5,12.5,,,
131,1,2,0.61,1,0,1,1,1,15,20,20,15,15,15,7,6,8,7,6,8,7,6,2,2,8,15,7,8,9,8,9,8,7,7,20,14.29,17.14,22.86,14.29,11.43,1,1,
132,1,1,-0.21,1,1,1,1,1,45,5,25,20,0,5,7,9,7,6,5,7,7,8,2,2,8,15,9,9,9,9,9,9,9,7,20,14.29,17.14,22.86,14.29,11.43,1,1,
133,1,2,-0.04,1,1,0,1,0,35,10,35,10,10,0,9,7,9,7,9,7,8,7,2,2,8,15,7,9,8,8,8,8,7,7,20,14.29,17.14,22.86,14.29,11.43,1,1,
134,1,0,-0.18,1,1,1,1,1,20,20,20,20,10,10,8,10,7,10,7,10,8,10,1,2,8,15,7,7,7,9,9,9,8,10,20,14.29,17.14,22.86,14.29,11.43,1,1,
135,1,2,0.08,1,1,1,1,1,20,5,25,25,10,15,8,5,5,7,7,9,8,2,1,2,8,15,6,8,6,8,10,10,7,7,20,14.29,17.14,22.86,14.29,11.43,1,1,
136,1,0,0.12,1,0,1,1,1,10,25,20,25,5,15,8,6,7,8,2,8,9,4,2,2,8,15,6,8,8,7,9,8,7,7,20,14.29,17.14,22.86,14.29,11.43,1,1,
137,1,1,-0.46,1,0,1,1,1,15,15,25,20,15,10,7,8,8,7,7,6,8,6,1,2,8,15,8,8,9,8,9,9,8,7,20,14.29,17.14,22.86,14.29,11.43,1,1,
138,1,2,-0.4,1,1,1,1,1,9.09,18.18,27.27,18.18,18.18,9.09,8,6,5,6,6,5,5,6,2,2,8,15,8,8,8,8,8,7,8,7,20,14.29,17.14,22.86,14.29,11.43,1,1,
139,1,3,-0.26,1,0,1,1,1,20,10,20,30,10,10,10,9,8,8,7,7,7,5,2,2,8,15,7,8,7,8,8,7,7,7,20,14.29,17.14,22.86,14.29,11.43,1,1,
140,1,3,0.17,1,1,0,1,0,15,15,15,40,10,5,10,10,10,10,10,,10,1,1,2,8,15,7,8,7,9,8,8,7,7,20,14.29,17.14,22.86,14.29,11.43,1,1,
141,1,3,0.21,3,0,1,1,1,15,20,20,15,15,15,5,6,7,7,6,6,6,6,2,1,5,9,8,7,9,6,9,7,8,6,21.21,18.18,12.12,21.21,6.06,21.21,3,0,
142,1,0,0.32,3,0,0,1,0,45,5,25,20,0,5,6,8,7,9,7,8,8,6,1,1,5,9,10,10,10,10,7,8,10,1,21.21,18.18,12.12,21.21,6.06,21.21,3,0,
